EventID;Version;DetailedMessage;MinimumOSRequirement
4608;0;"Windows is starting up.
This event is logged when LSASS.EXE starts and the auditing subsystem is initialized.";Windows Vista, Windows Server 2008
4609;0;"Windows is shutting down.
All logon sessions will be terminated by this shutdown.";Windows Vista, Windows Server 2008
4610;0;"An authentication package has been loaded by the Local Security Authority.
This authentication package will be used to authenticate logon attempts.

Authentication Package Name: %1";Windows Vista, Windows Server 2008
4611;0;"This logon process will be trusted to submit logon requests.

Subject:
 Security ID:  %1
 Account Name:  %2
 Account Domain:  %3
 Logon ID:  %4

Logon Process Name:  %5";Windows Vista, Windows Server 2008
4612;0;"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.

Number of audit messages discarded: %1

This event is generated when audit queues are filled and events must be discarded.  This most commonly occurs when security events are being generated faster than they are being written to disk, or when the auditing system loses connectivity to the event log, such as when the event log service is stopped.";Windows Vista, Windows Server 2008
4614;0;"A notification package has been loaded by the Security Account Manager.
This package will be notified of any account or password changes.

Notification Package Name: %1";Windows Vista, Windows Server 2008
4615;0;"Invalid use of LPC port.

Subject:
 Security ID:  %1
 Account Name:  %2
 Account Domain:  %3
 Logon ID:  %4

Process Information:
 PID:   %7
 Name:   %8

Invalid Use:  %5

LPC Server Port Name: %6

Windows Local Security Authority (LSA) communicates with the Windows kernel using Local Procedure Call (LPC) ports. If you see this event, an application has inadvertently or intentionally accessed this port which is reserved exclusively for LSA's use. The application (process) should be investigated to ensure that it is not attempting to tamper with this communications channel.";Windows Vista, Windows Server 2008
4616;0;"The system time was changed.

Subject:
 Security ID:  %1
 Account Name:  %2
 Account Domain:  %3
 Logon ID:  %4

Process Information:
 Process ID: %9
 Name:  %10

Previous Time:  %6 %5
New Time:  %8 %7

This event is generated when the system time is changed. It is normal for the Windows Time Service, which runs with System privilege, to change the system time on a regular basis. Other system time changes may be indicative of attempts to tamper with the computer.

Note: Process Information audit data is available only on computers running Windows Server 2008 R2 or Windows 7.";Windows Vista, Windows Server 2008
4616;1;"The system time was changed.

Subject:
 Security ID:  %1
 Account Name:  %2
 Account Domain:  %3
 Logon ID:  %4

Process Information:
 Process ID: %9
 Name:  %10

Previous Time:  %6 %5
New Time:  %8 %7

This event is generated when the system time is changed. It is normal for the Windows Time Service, which runs with System privilege, to change the system time on a regular basis. Other system time changes may be indicative of attempts to tamper with the computer.

Note: Process Information audit data is available only on computers running Windows Server 2008 R2 or Windows 7.";Windows 7, Windows Server 2008 R2
4618;0;"A monitored security event pattern has occurred.

Subject:
 Security ID:  %3
 Account Name:  %4
 Account Domain:  %5
 Logon ID:  %6

Alert Information:
 Computer:  %2
 Event ID:  %1
 Number of Events: %7
 Duration:  %8

This event is generated when Windows is configured to generate alerts in accordance with the Common Criteria Security Audit Analysis requirements (FAU_SAA) and an auditable event pattern occurs.";Windows Vista, Windows Server 2008
